ID;district;year;gva;age;rent;skill;academic;wage;pop;tax;car;spec;area;emp;den;dist;market;tech;hosp;recr;east;waste
230;Ebersberg;2012;24,38;41,76;9,3;56,8;17,67;2612,6;238,47;420,67;543,43;21,25;549;51;92,9;12,55;7,4;47,67;2,5;49,6;west;1790,74
231;Eichstätt;2012;29,44;40,99;6,67;66,82;11,76;2382,56;102,99;346,04;565,24;33,27;1214;51;42,01;14,66;2,87;40,54;3,5;39,5;west;3764,65
232;Erding;2012;19,92;40,71;8,42;64,62;9,82;2452,19;147,34;506,01;582,02;19,72;871;56;64,29;8,86;7,26;47,27;3,2;44,2;west;4659,51
233;Freising;2012;21,43;40,16;9,13;56,21;14,25;3164,8;207,9;624,1;562,18;17,39;800;103;128,75;7,48;17,21;60,03;2,1;34,8;west;1692,92
234;Fürstenfeldbruck;2012;22,95;43,24;9,39;56,81;16,35;2582,91;471,94;373,6;529,43;21,34;435;72;165,52;9,46;17,5;77,14;1,8;33,9;west;843,71
235;Garmisch-Partenkirchen;2012;13,31;45,34;7,67;62,67;8,88;2238,07;83,68;356,62;550,09;14,24;1012;42;41,5;16,07;2,58;69,34;14,9;45;west;293,08
236;Landsberg am Lech;2012;28,84;42,05;7,53;62,6;13,55;2525,73;142;438,43;598,74;25,01;804;53;65,92;10,57;6,24;33,34;4,1;37,4;west;2146,24
237;Miesbach;2012;26,51;43,99;8,54;59,99;13,01;2425,32;109,39;426,71;605,86;23,3;866;48;55,43;15,17;3,65;64,91;4,8;44,2;west;385,84
238;Mühldorf a.Inn;2012;40,77;42,82;5,54;66,95;7,24;2341,98;133,31;534,07;585,67;34,28;805;53;65,84;9,76;6,75;53,55;3,4;26,1;west;698,1
239;München;2012;17,4;42,5;10,58;49,52;23,04;3634,04;490,39;1979,79;680,14;18,24;664;254;382,53;4,17;91,73;76,27;3,8;40,4;west;3167,1
240;Neuburg-Schrobenhausen;2012;40,5;41,94;6,14;68,03;7,1;2388,72;124,06;391,84;596,7;34,85;740;44;59,46;25,32;2,35;43,05;4,9;43,2;west;3169,38
241;Pfaffenhofen a.d.Ilm;2012;43,49;41,67;6,58;65,57;10,1;3058,54;155,57;322,81;589,42;31,98;761;52;68,33;9,26;7,38;49,62;2,8;38,5;west;2847,73
242;Rosenheim;2012;32,11;42,84;7,4;64,21;10,88;2410,67;171,67;356,13;588,53;28,18;1440;112;77,78;12;6,48;61,25;10,7;34,1;west;915,35
243;Starnberg;2012;27,03;43,92;9,86;50,67;22,57;2818,31;265,58;802,56;608,31;22,13;488;64;131,15;7,4;17,72;56,82;10;48,6;west;127,72
244;Traunstein;2012;43,91;43,94;6,28;66,99;8,57;2505,96;110,47;541,28;594,75;33,38;1534;88;57,37;17,51;3,28;88,09;4,9;51,1;west;997,29
245;Weilheim-Schongau;2012;45,82;43,13;7,55;65,22;10,33;2615,83;134,08;775,33;587,31;35,19;966;65;67,29;21,44;3,14;55,66;3,8;45,4;west;19829,73
246;Landshut, Stadt;2012;29,91;43,65;7,21;55,42;14,19;2368,51;992,13;547,26;489,57;14,49;66;54;818,18;5,94;137,74;91,72;18,2;24,6;west;875,82
247;Passau, Stadt;2012;25,93;43,61;5,91;57,89;15,24;2490,38;704,87;616,75;513,87;20,51;70;50;714,29;6,58;108,55;89,45;15,2;21,9;west;941,49
248;Straubing;2012;27,04;44,23;5,64;62,62;8,34;2357,78;667,14;610,61;536,62;20,08;68;38;558,82;9,98;55,99;90,01;9,7;36,1;west;1932,61
249;Deggendorf;2012;39,38;42,95;6,17;67,96;6,68;2426,75;133,21;389,43;596,15;35,91;861;67;77,82;8,07;9,64;42,75;9,7;31,8;west;7601,25
250;Freyung-Grafenau;2012;32,32;43,72;4,21;68,88;4,28;1973,91;79,07;261,07;590,69;32,72;984;34;34,55;37,84;0,91;18,79;5,2;66,6;west;2421,45
